PERSCERT.U;/module/personCert/update;URI Actualizar un registro de Experiencia Certificación Persona;1;;t;t;t;t;t
PERSKILL.C;/module/personSkill/create;URI para crear un registro de contacto;1;;t;t;t;t;t
PERSKILL.D;/module/personSkill/delete;URI para eliminar un registro de contacto;1;;t;t;t;t;t
PERSKILL.U;/module/personSkill/update;URI para crear un registro de contacto;1;;t;t;t;t;t
PERSON.CM;/module/curriculumManagement/createManual;URI para crear nuevo usuario en sistema Manualmente;1;;t;t;f;t;t
PERSON.D;/module/curriculumManagement/delete;URI para borrar un registro de persona;1;;t;t;f;t;t
PERSON.G;/module/curriculumManagement/get;URI para obtener listado de personas según parametros;1;;t;t;f;t;t
PERSON.P;/module/applicant/setResumePublication;URI para publicar un cv personal;1;;t;t;t;t;t
PERSON.PW;/admin/management/updpwd;URI para reemplazar la contraseña de acceso;1;;t;t;t;t;t
PERSON.R;/module/curriculumManagement/read;URI para obtener un registro de persona;1;;t;t;t;t;t
PERSON.TR;/module/curriculumManagement/tracking;URI para obtener procesos de persona;1;;t;t;t;t;t
PERSON.U;/module/curriculumManagement/update;URI para actualizar un registro existente de persona;1;;t;t;t;t;t
PLAN.C;/module/plan/create;URI para crear un nuevo registro de Plan;1;;t;t;t;t;t
PLAN.D;/module/plan/delete;URI para eliminar un registro de Plan;1;;t;t;t;t;t
PLAN.R;/module/plan/read;URI para obtener un registro de Plan;1;;t;t;t;t;t
PLAN.U;/module/plan/update;URI para actualizar un registro de Plan;1;;t;t;t;t;t
POSITIONCERT.C;/module/positionCert/create;URI Crear un registro de Certificación Posición;1;;t;t;f;t;f
POSITIONCERT.D;/module/positionCert/delete;URI Eliminar un registro de Certificación Posición;1;;t;t;f;t;f
POSITIONCERT.U;/module/positionCert/update;URI Actualizar un registro de Experiencia Certificación Posición;1;;t;t;f;t;f
POSITIONCOMPETENCE.U;/module/positionCompet/update;URI Actualizar un registro de Competencia Posición;1;;t;t;f;t;f
POSITIONSKILL.C;/module/positionSkill/create;URI para procesar una petición de CREATE de Habilidad Posición;1;;t;t;f;t;f
POSITIONSKILL.D;/module/positionSkill/delete;URI para procesar una petición de DELETE de Habilidad Posición;1;;t;t;f;t;f
POSITIONSKILL.G;/module/positionSkill/get;URI para procesar una petición de GET de Habilidad Posición;1;;t;t;f;t;f
POSITIONSKILL.U;/module/positionSkill/update;URI para procesar una petición de UPDATE de Habilidad Posición;1;;t;t;f;t;f
POSTULANT.G;/module/postulante/get;Listado de Candidatos/pre-candiatos;1;;t;f;f;t;t
POSTULANT.U;/module/postulante/update;actualización de Candidatos/pre-candiatos;1;;t;f;f;t;t
PROFILE.A;/module/profile/updateAssociation;URI para procesar una asociación entre posición y perfil;1;;t;t;f;t;f
PROFILE.CPB;/module/profile/createpublic;URI para crear un nuevo registro de Perfil accesable por todos las Apps (admin-Dothr);1;;t;f;f;f;f
PROFILE.CPV;/module/profile/createprivate;URI para crear un nuevo registro de Perfil accesable por solo por App Propietaria;1;;t;t;f;f;f
PROFILE.D;/module/profile/delete;URI para eliminar un registro de Perfil;1;;t;t;f;f;f
PROFILE.G;/module/profile/get;URI para obtener un registro de Perfil;1;;t;t;f;t;f
PROFILE.R;/module/profile/read;URI para leer nuevo registro de Perfil;1;;t;t;f;t;f
PROFILE.U;/module/profile/update;URI para actualizar un registro de Perfil;1;;t;t;f;t;f
PROFILETEX.C;/module/profile/textcreate;URI para crear un nuevo registro de Texto Ngram;1;;t;t;f;t;f
PROFILETEX.D;/module/profile/textdelete;URI para eliminar un registro de Texto Ngram;1;;t;t;f;t;f
PROFILETEX.G;/module/profile/textget;URI para obtener listado de Texto Ngram;1;;t;t;f;t;f
PROFILETEX.U;/module/profile/textupdate;URI para actualizar un registro de Texto Ngram;1;;t;t;f;t;f
RECLASIFY.T;/module/task/reClassification;URI para Iniciar un proceso de reclasificación en Solr;1;;t;t;f;f;f
RECLASSDOCS.LD;/admin/management/lastDateReclassDocs;URI para obtener última fecha del proceso de reclasificacion de CVs;1;;t;t;f;f;f
REFERENCE.C;/module/reference/create;URI para crear un nuevo registro de Referencia;1;;t;t;t;t;f
REFERENCE.D;/module/reference/delete;URI para eliminar un registro de Referencia;1;;t;t;t;t;f
REFERENCE.R;/module/reference/read;URI para obtener un registro de Referencia;1;;t;t;t;t;f
REFERENCE.U;/module/reference/update;URI para actualizar un registro de Referencia;1;;t;t;t;t;f
RELOADCORESOLR.LD;/admin/management/lastDateReLoadCoreSolr;URI para obtener última fecha del proceso reload core solr;1;;t;t;f;f;f
RELOADCORESOLR.T;/module/task/reloadCoreSolr;URI para aplicar el proceso Reload Core Solr;1;;t;f;f;f;f
REMODELING.LD;/admin/management/lastDateRemodel;URI para obtener última fecha del proceso de remodelación;1;;t;t;f;f;f
REMODELING.T;/module/task/reModel;URI para Iniciar un proceso de Remodelación de DocumentosClasificados Solr;1;;t;f;f;f;f
REPORT.C;/module/report/create;URI para generación de Reporte/Archivo/PDF dependiendo sus parámetros;1;;t;t;f;t;t
ROL.AP;/admin/rol/assignPerms;URI para actualizar el campo de activo;1;;t;t;f;t;f
ROL.C;/admin/rol/create;URI. Crea nuevo registro de Rol;1;;t;t;f;t;f
ROL.D;/admin/rol/delete;URI. Elimina registro de Rol;1;;t;t;f;t;f
ROL.G;/admin/rol/get;URI para obtener un listado de roles;1;;t;t;f;t;t
ROL.U;/admin/rol/update;URI. Actualiza registro de Rol;1;;t;t;f;t;f
SALARY.C;/module/salary/create;URI para crear un nuevo registro de Salario;1;;t;t;t;t;f
SALARY.D;/module/salary/delete;URI para eliminar un registro de Salario;1;;t;t;t;t;f
SALARY.R;/module/salary/read;URI para obtener un registro de Salario;1;;t;t;t;t;f
SALARY.U;/module/salary/update;URI para actualizar un registro de Salario;1;;t;t;t;t;f
SETTLEMENT.C;/module/settlement/create;URI para actualizar un registro de;1;;t;t;t;t;t
SETTLEMENT.G;/module/settlement/get;Obtiene campos de Estado Municipio y arreglo de asentamientos relacionados con el Código Postal solicitado;1;;t;t;t;t;t
SYNCDOCS.LD;/admin/management/lastDateSyncDocs;URI para obtener última fecha del proceso de sincronización de documentos;1;;t;t;f;f;f
SYNCHRONIZE.T;/module/task/syncClassDocs;URI para Iniciar un proceso de Sincronización de DocumentosClasificados Solr-DB;1;;t;t;f;f;f
TIPOPERMISO.G;/admin/tipoPermiso/get;URI para obtener un listado de tipo permiso;1;;t;t;f;f;f
TOKENUPLOAD.C;/module/classify/loadTokens;URI para crear documentos por medio de palabras clave y subirlos a Solr;1;;t;t;f;f;f
TRACKMONITOR.C;/module/trackMonitor/create;URI Lectura de Tracking Monitor;1;;t;f;f;t;f
TRACKMONITOR.D;/module/trackMonitor/delete;URI Eliminación/desactivación Tracking Monitor;1;;t;f;f;t;t
TRACKMONITOR.R;/module/trackMonitor/read;URI Lectura de Tracking Monitor;1;;t;f;f;t;t
TRACKMONITOR.U;/module/trackMonitor/update;URI Actualización Tracking Monitor;1;;t;f;f;t;t
TRACKPOSTULANT.C;/module/trackPostulante/create;Creación de Tracking Persona;1;;t;f;f;t;f
TRACKPOSTULANT.CF;/module/trackPostulante/confirm;URI que confirma la adicion del candidato a la posición.;1;;t;f;f;t;t
TRACKPOSTULANT.D;/module/trackPostulante/delete;Eliminación de Tracking Persona;1;;t;f;f;t;t
TRACKPOSTULANT.G;/module/trackPostulante/get;Listado Tracking Persona;1;;t;t;t;t;t
TRACKPOSTULANT.R;/module/trackPostulante/read;Lectura de Tracking Persona;1;;t;f;f;t;t
TRACKPOSTULANT.RLB;/module/trackPostulante/rollback;Des-hacer de Tracking Persona;1;;t;f;f;t;t
TRACKPOSTULANT.U;/module/trackPostulante/update;Actualizado de Tracking Persona;1;;t;f;f;t;t
VACANCY.C;/module/vacancy/create;URI para crear un nuevo registro de posición;1;;t;t;f;t;f
VACANCY.CL;/module/vacancy/clone;URI para clonar los registros asociados a una posición;1;;t;t;f;t;f
VACANCY.D;/module/vacancy/delete;URI para eliminar un registro de posición;1;;t;t;f;t;f
VACANCY.DC;/module/vacancy/dataconf;URI que obtiene dataconf de posición;1;;t;t;f;t;t
VACANCY.G;/module/vacancy/get;URI para obtener registro(s) de posición;1;;t;t;f;t;t
VACANCY.P;/module/vacancy/setVacancyPublication;URI para publicar una posición;1;;t;t;f;t;f
VACANCY.R;/module/vacancy/read;URI para leer un registro de posición;1;;t;t;f;t;t
VACANCY.U;/module/vacancy/update;URI para actualizar un registro de posición;1;;t;t;f;t;t
VACANCYTEXT.C;/module/vacancyText/create;URI para crear un nuevo registro de función o texto asociado al perfil;1;;t;t;f;t;t
VACANCYTEXT.D;/module/vacancyText/delete;URI para eliminar un registro de función o texto asociado al perfil;1;;t;t;f;t;f
VACANCYTEXT.U;/module/vacancyText/update;URI para actualizar un registro de función o texto asociado al perfil;1;;t;t;f;t;f
VACATION.C;/module/vacation/create;URI para crear un nuevo registro de Vacaciones;1;;t;t;t;t;t
VACATION.D;/module/vacation/delete;URI para eliminar un registro de Vacaciones;1;;t;t;t;t;f
VACATION.R;/module/vacation/read;URI para obtener un registro de Vacaciones;1;;t;t;t;t;f
VACATION.U;/module/vacation/update;URI para actualizar un registro de  Vacaciones;1;;t;t;t;t;f
VOUCHER.C;/module/voucher/create;URI para crear un nuevo registro de Vales;1;;t;t;t;t;f
VOUCHER.D;/module/voucher/delete;URI para eliminar un registro de Vales;1;;t;t;t;t;f
VOUCHER.R;/module/voucher/read;URI para obtener un registro de Vales;1;;t;t;t;t;f
VOUCHER.U;/module/voucher/update;URI para actualizar un registro de  Vales;1;;t;t;t;t;f
WORKEXP.C;/module/workExperience/create;URI para crear un nuevo registro de Experiencia laboral;1;;t;t;t;t;f
WORKEXP.D;/module/workExperience/delete;URI para eliminar un registro de Experiencia laboral;1;;t;t;t;t;f
WORKEXP.G;/module/workExperience/get;URI para obtener listado de Experiencia laboral;1;;t;t;t;t;f
WORKEXP.U;/module/workExperience/update;URI para actualizar un registro de Experiencia laboral;1;;t;t;t;t;f
Mi Cuenta;;/Mi Cuenta;2;;t;t;t;t;t
Curriculum Vitae;#/cvpw;/Mi Cuenta/Curriculum Vitae;2;;t;t;t;t;f
Cambio de Contraseña;#/vccn;/Mi Cuenta/Cambio de Contraseña;2;;t;t;t;t;t
Talento;;/Talento;2;;t;t;f;t;f
Crear nuevo;#/cvadd;/Talento/Crear nuevo;2;;t;f;f;t;f
Buscar CV;#/cvfind;/Talento/Buscar CV;2;;t;t;f;t;f
Modelos RSC;;/Modelos RSC;2;;t;t;f;t;f
Nuevo;#/nwtemplate;/Modelos RSC/Nuevo;2;;t;t;f;t;f
